date,lake,Tmin
01/07/2019,Yuriria,13.22580645
01/07/2019,Zempoala,9.096774194
01/08/2019,Chapala,18.23333333
01/08/2019,Amela,23.90322581
01/08/2019,Yuriria,13.24193548
01/08/2019,Zempoala,7.4
01/09/2019,Chapala,18.3
01/09/2019,Amela,23.9
01/09/2019,Yuriria,12.5
01/09/2019,Zempoala,7.9
01/10/2019,Chapala,17.7
01/10/2019,Amela,23.2
01/10/2019,Yuriria,12.2
01/10/2019,Zempoala,7.8
01/11/2019,Chapala,16.9
01/11/2019,Amela,22.7
01/11/2019,Yuriria,10.8
01/11/2019,Zempoala,5.6
01/12/2019,Chapala,16.85333333
01/12/2019,Amela,22.66666667
01/12/2019,Yuriria,10.75
01/12/2019,Zempoala,5.586666667
01/01/2020,Chapala,12.91935484
01/01/2020,Amela,20
01/01/2020,Yuriria,5.612903226
01/01/2020,Zempoala,-0.174193548
01/02/2020,Chapala,14.26785714
01/02/2020,Amela,19.43103448
01/02/2020,Yuriria,7.862068966
01/02/2020,Zempoala,1.081481481
01/03/2020,Chapala,16.91935484
01/03/2020,Amela,20.38709677
01/03/2020,Yuriria,10.35483871
01/03/2020,Zempoala,6.862068966
01/04/2020,Chapala,17.8
01/04/2020,Amela,18.9
01/04/2020,Yuriria,12
01/04/2020,Zempoala,3.8
01/05/2020,Chapala,18
01/05/2020,Amela,20.3
01/05/2020,Yuriria,12.3
01/05/2020,Zempoala,3.8
01/06/2020,Chapala,19.1
01/06/2020,Amela,23.3
01/06/2020,Yuriria,13.6
01/06/2020,Zempoala,7.3
01/07/2020,Chapala,18.2
01/07/2020,Amela,24
01/07/2020,Yuriria,13.8
01/07/2020,Zempoala,8.3
01/08/2020,Chapala,18
01/08/2020,Amela,23.8
01/08/2020,Yuriria,13.5
01/08/2020,Zempoala,8.4
01/09/2020,Chapala,18.1
01/09/2020,Amela,23.7
01/09/2020,Yuriria,12.8
01/09/2020,Zempoala,8.3
01/10/2020,Chapala,16.9
01/10/2020,Amela,23.3
